Person_name,Threshold,TP,FP,FN,TN,FMC,Miss_R,FMR,Intrusion,Train_count,Test_count
SureshGopi,0.0,0,0,3,0,0,100.0,0,0.0,9,3
Suryakantham,0.0,0,0,3,0,0,100.0,0,0.0,9,3
TanikellaBharani,0.0,0,0,3,0,0,100.0,0,0.0,9,3
Tenniskrishna,0.0,0,0,3,0,0,100.0,0,0.0,9,3
Thilakan,0.0,0,0,3,0,0,100.0,0,0.0,9,3
Trisha,0.0,0,0,3,0,0,100.0,0,0.0,9,3
Umashri,0.0,0,0,3,0,0,100.0,0,0.0,9,3
Unknown,0.0,0,0,0,140,0,0,0,0.0,0,140
Vajramuni,0.0,0,0,3,0,0,100.0,0,0.0,9,3
Venkatesh,0.0,0,0,3,0,0,100.0,0,0.0,9,3
VinodKhanna,0.0,0,0,3,0,0,100.0,0,0.0,9,3
Vishnuvardhan,0.0,0,0,3,0,0,100.0,0,0.0,9,3
ANR,0.01,0,0,3,0,0,100.0,0,0.0,9,3
AamairKhan,0.01,0,0,3,0,0,100.0,0,0.0,9,3
Aarthi,0.01,0,0,3,0,0,100.0,0,0.0,9,3
AkshayKumar,0.01,0,0,3,0,0,100.0,0,0.0,9,3
Ali,0.01,0,0,3,0,0,100.0,0,0.0,9,3
Ambresh,0.01,0,0,3,0,0,100.0,0,0.0,9,3
AmitabhBachchan,0.01,0,0,3,0,0,100.0,0,0.0,9,3
AmrishPuri,0.01,0,0,3,0,0,100.0,0,0.0,9,3
AnilKapoor,0.01,0,0,3,0,0,100.0,0,0.0,9,3
Annapoorna,0.01,0,0,3,0,0,100.0,0,0.0,9,3
AnupamKher,0.01,0,0,3,0,0,100.0,0,0.0,9,3
Ashwath,0.01,0,0,3,0,0,100.0,0,0.0,9,3
Avinash,0.01,0,0,3,0,0,100.0,0,0.0,9,3
BabuMohan,0.01,0,0,3,0,0,100.0,0,0.0,9,3
Balakrishna,0.01,0,0,3,0,0,100.0,0,0.0,9,3
Bhanupriya,0.01,0,0,3,0,0,100.0,0,0.0,9,3
Bharathi,0.01,0,0,3,0,0,100.0,0,0.0,9,3
BomanIrani,0.01,0,0,3,0,0,100.0,0,0.0,9,3
Brahmanandam,0.01,0,0,3,0,0,100.0,0,0.0,9,3
Cochinhaneefa,0.01,0,0,3,0,0,100.0,0,0.0,9,3
Dileep,0.01,0,0,3,0,0,100.0,0,0.0,9,3
Dr.Rajkumar,0.01,0,0,3,0,0,100.0,0,0.0,9,3
Dwarkish,0.01,0,0,3,0,0,100.0,0,0.0,9,3
FaridaJalal,0.01,0,0,3,0,0,100.0,0,0.0,9,3
